column_name,data_type,description,source,transformation_or_derivation,notes_or_concerns
origin,str,Origin airport code for the route,flights table,Used as part of route-level grouping key,
dest,str,Destination airport code for the route,flights table,Used as part of route-level grouping key,
flight_count,int64,Number of flights observed for the route,flights table,Count of flight records grouped by origin and destination,
avg_dep_delay,float64,,,,
avg_arr_delay,float64,Average arrival delay for flights on the route,flights table,Mean of arr_delay grouped by origin and destination,
max_arr_delay,float64,,,,
avg_distance,float64,,,,
avg_air_time,float64,,,,
dest_airport_name,str,Full name of the destination airport,airports table,Joined from airports using dest = faa,
dest_lat,float64,,,,
dest_lon,float64,,,,
